교량명,시설물종별등급구분,시도명,시군구명,교량연장,교량폭,차로수,상부구조형식,최종안전점검결과,설계활하중,준공후경과년수,경간수,최대경간장,교통량
진위교,2,경기도,평택시,125,21,4,PSCI거더교,B,DB-24,37,5,25,21443
풍계교,3,경기도,이천시,55,20,2,RC슬래브교,B,DB-24,27,4,15,5654
태평교,3,경기도,여주시,43.8,19.5,4,PSCI거더교,B,DB-24,32,2,21.9,8750
장평교,2,경기도,이천시,105,19.5,4,RC슬래브교,B,DB-24,30,7,15,14150
덕평교,3,경기도,여주시,32,10,2,RC슬래브교,B,DB-24,27,2,16,3739
궁안교(상),2,경기도,평택시,420,10.4,2,프리플렉스거더교,B,DB-24,31,11,38.3,25296
안양교,2,경기도,안성시,105,20,4,RC슬래브교,B,DB-24,30,7,15,21577
보개교,3,경기도,안성시,70,20,4,RC슬래브교,B,DB-24,30,5,15,14095
고촌육교,3,경기도,김포시,45,29,4,강박스거더교,B,DB-24,30,1,45,20508
신원교,3,경기도,이천시,36,19.5,4,라멘교,B,DB-24,25,3,13,15307
길천교,2,경기도,여주시,144.7,19.5,4,PSCI거더교,B,DB-24,25,7,20.7,15307
번천2교,2,경기도,광주시,160,18,4,RC중공슬래브교,B,DB-24,36,8,20,9900
번천1교,3,경기도,광주시,53,17.2,4,RC슬래브교,B,DB-24,36,3,20,10876
신곡교,3,경기도,김포시,34.1,45,8,RC슬래브교,C,DB-24,20,3,13,44004
매상교,3,경기도,평택시,30,20.1,4,PSCI거더교,B,DB-24,30,1,30,8897
궁안교(하),2,경기도,평택시,420,10,2,강박스거더교,B,DB-24,26,11,38.3,25296
신대교,1,경기도,평택시,400,19.5,4,강박스거더교,B,DB-24,26,8,50,25296
숙성라멘교,기타,경기도,평택시,11,19.5,4,라멘교,B,DB-24,26,1,11,19669
숙성교,3,경기도,평택시,36,19.5,4,라멘교,B,DB-24,26,2,18,19669
양복육교,기타,경기도,안성시,12,19.5,4,라멘교,B,DB-24,26,1,12,14095
마전1교,3,경기도,안성시,48,19.5,4,RC슬래브교,B,DB-24,26,3,18,14095
마전2교,3,경기도,안성시,20,19.5,4,라멘교,B,DB-24,26,2,10,14095
두현육교,기타,경기도,안성시,12,19.5,4,라멘교,C,DB-24,26,1,12,12403
중마교,3,경기도,안성시,45,19.5,4,RC슬래브교,C,DB-24,26,3,15,13701
죽산육교,3,경기도,안성시,30,26.3,4,라멘교,B,DB-24,26,2,15,13701
두원육교,기타,경기도,안성시,15,19.5,4,라멘교,C,DB-24,26,1,15,13701
장원육교,기타,경기도,안성시,15,19.5,4,라멘교,B,DB-24,26,1,15,13701
장원교,3,경기도,안성시,97,19.5,4,RC슬래브교,C,DB-24,26,7,15,13701
현곡교,3,경기도,평택시,42,19.5,4,RC슬래브교,B,DB-24,26,3,18,21136
풍무교,기타,경기도,화성시,11,21.5,4,라멘교,C,DB-24,27,1,11,18748
발안교,3,경기도,화성시,24,19.5,4,라멘교,B,DB-24,27,2,12,8033
송문1교,3,경기도,용인시 처인구,80,19.5,4,RC슬래브교,B,DB-24,26,5,17.4,24978
송문2교,3,경기도,용인시 처인구,70,19.5,4,RC슬래브교,B,DB-24,26,5,15.4,24978
송문3교,기타,경기도,용인시 처인구,15,19.5,4,라멘교,B,DB-24,26,1,15,24978
양지1교,3,경기도,용인시 처인구,62,19.5,4,RC슬래브교,B,DB-24,26,4,17,24978
양지2교,기타,경기도,용인시 처인구,16,19.5,4,라멘교,B,DB-24,26,1,16,16976
추계1교,1,경기도,용인시 처인구,156,19.5,4,강박스거더교,B,DB-24,26,3,60,16976
추계2교,1,경기도,용인시 처인구,160,19.5,4,강박스거더교,B,DB-24,26,3,60,16976
오천교,3,경기도,이천시,62,19.5,4,RC슬래브교,B,DB-24,26,4,17,15314
유덕교,3,경기도,화성시,30,19.5,4,라멘교,C,DB-24,27,2,15,26760
둔전육교,기타,경기도,용인시 처인구,12,19.5,4,라멘교,C,DB-24,26,1,12,15291
삼계교,3,경기도,용인시 처인구,30,19.5,4,프리플렉스거더교,B,DB-24,26,1,30,15291
포곡육교,기타,경기도,용인시 처인구,12,19.5,4,라멘교,C,DB-24,26,1,12,15291
초현교,3,경기도,용인시 처인구,21.2,23,4,RC슬래브교,B,DB-24,26,2,10.6,15102
초부교,기타,경기도,용인시 처인구,18.5,19.5,4,라멘교,C,DB-24,26,1,18.5,15102
왕산소교,3,경기도,용인시 처인구,22,22.5,5,RC슬래브교,B,DB-24,26,2,11,14202
매산교,3,경기도,광주시,25,19.5,4,RC슬래브교,B,DB-24,26,2,12.5,14202
양벌육교,3,경기도,광주시,30,19.5,4,프리플렉스거더교,B,DB-24,26,1,30,14202
양벌대교,2,경기도,광주시,211.4,19.5,4,PSCI거더교,B,DB-24,26,7,30.2,14202
고산육교,3,경기도,광주시,90.2,22.5,6,강박스거더교,B,DB-24,26,3,40,14202
군하교,3,경기도,김포시,84,18.5,4,RC슬래브교,B,DB-24,26,6,15,17099
오리교,3,경기도,김포시,50,18.5,4,라멘교,B,DB-24,26,4,14,20163
평택호대교,1,경기도,평택시,660,19.5,4,강박스거더교,B,DB-24,25,11,70,8897
현덕IC교,3,경기도,평택시,30,19.5,4,라멘교,C,DB-24,25,2,15,8850
현덕교,3,경기도,평택시,51,19.5,4,RC중공슬래브교,B,DB-24,25,3,19,7511
안중고가차도,1,경기도,평택시,220,19.5,4,강박스거더교,B,DB-24,25,5,50,16651
신원육교,기타,경기도,이천시,15,19.5,4,라멘교,B,DB-24,25,1,15,15307
백록육교,기타,경기도,이천시,10,19.5,4,라멘교,B,DB-24,25,1,10,15307
능서육교,기타,경기도,여주시,15,19.5,4,라멘교,B,DB-24,25,1,15,16322
신궁1육교,3,경기도,평택시,30.7,19.5,4,PSCI거더교,B,DB-24,26,1,30.7,18104
신궁2육교,3,경기도,평택시,40,19.5,4,강박스거더교,C,DB-24,26,1,40,18104
평궁교,3,경기도,평택시,30.5,27,4,PSCI거더교,B,DB-24,26,1,30.5,18104
안성천2교,1,경기도,평택시,941.6,19.5,4,강박스거더교,B,DB-24,23,29,60,18104
월정육교,기타,경기도,안성시,12,24.7,4,라멘교,B,DB-24,25,1,12,12041
청미교(상),2,경기도,안성시,212.8,10.8,2,PSCI거더교,B,DB-24,25,7,30.4,12041
청미교(하),2,경기도,안성시,212.8,10.8,2,PSCI거더교,B,DB-24,25,7,30.5,12041
행죽교,3,경기도,이천시,25.2,19.5,4,PSCI거더교,B,DB-24,25,1,25.2,5388
행죽육교,기타,경기도,이천시,16,19.5,4,라멘교,B,DB-24,25,1,16,5388
